member_id,org,name,timestamp
31,AAU,Addis Ababa University,
50,AAU- MCMB,,5/30/2022 9:33
27,AAU-IoB,"Addis Ababa University, Institute of Biodiversity",5/30/2022 9:33
7,AMU,Arba Minch University,5/30/2022 9:33
32,ARARI,Amhara Agricultural Research Institute,5/30/2022 9:33
55,ARARI-Adet ARC,Adet Agricultural Research Center,5/30/2022 9:33
23,ATA,Agricultural Transformation Agency,5/30/2022 9:33
8,BDU,Bahir Dar University,5/30/2022 9:33
9,BETi,Bio and Emerging Technologies Institute,
5,CIMMYT,,5/30/2022 9:33
6,DMU,Debre Markos University,5/30/2022 9:33
36,EARCS,Ethiopian Agricultural Research Council Secretariat,5/30/2022 9:33
14,EBI,Ethiopian Biodiversity Institute,5/30/2022 9:33
16,EIAR-AmARC,Ambo Agricultural Research Center,5/30/2022 9:33
56,EIAR-Asosa  ARC,Asosa Agricultural Research Center,5/30/2022 9:33
18,EIAR-Bako ARC,Bako Agricultural Research Center,5/30/2022 9:33
42,EIAR-Bako MRC,Bako National Maize Research Center,5/30/2022 9:33
12,EIAR-DZARC,Debrezeit Agricultural Research Center,5/30/2022 9:33
39,EIAR-FNRRTC,Fogera National Rice Research and Training Center,5/30/2022 9:33
11,EIAR-HARC,Holleta Agricultural Research Center,5/30/2022 9:33
21,EIAR-HQ-AA,Ethiopian Institute of Agricultural Research,5/30/2022 9:33
3,EIAR-JARC,Jimma Agricultural Research Center,5/30/2022 9:33
44,EIAR-KARC,Kulumsa Agricultural Research Center,5/30/2022 9:33
1,EIAR-MARC,Melkassa Agricultural Research Center,5/30/2022 9:33
26,EIAR-NABRC,National Agricultural Biotechnology Research Center,
64,EIAR-Pawe ARC,Pawe Agricultural Research Center,5/30/2022 9:33
24,EIAR-WARC,Werer Agricultural Research Center,5/30/2022 9:33
29,EIAR-WGARC,Wondogenet Agricultural Research Center,6/1/2022 18:42
34,Eth. Sugar Corpor-Res.,,5/30/2022 9:33
38,HaU,Haramaya University,5/30/2022 9:33
20,HU,Hawassa University,5/30/2022 9:33
63,ICARDA,International Center for Agricultural Research in Dry area,5/30/2022 9:33
2,ILRI,International Livestock Research Institute,
41,JU,Jimma University,5/30/2022 9:33
49,MkU,Mekelle University,5/30/2022 9:33
58,MoE-AA,Ministry of Education,
37,MWU,Meda Welabu University,5/30/2022 9:33
25,NBAC-EIAR,,5/30/2022 9:33
17,NGO,Non Governmental Organization,5/30/2022 9:33
4,OARI,Oromia Agricultural Research Institute,5/30/2022 9:33
33,OARI-Sinana ARC,Sinana Agricultural Research Center,5/30/2022 9:33
30,PSI,,5/30/2022 9:33
13,SARI,Southern Agricultural Research Institute,
45,SARI-Areka ARC,Areka Agricultural Research Center,5/30/2022 9:33
19,SARI-Hawassa ARC,Hawassa Agricultural Research Center,5/30/2022 9:33
57,SU,Selale University,5/30/2022 9:33
51,TARI,Tigray Agricultural Research Institute,5/30/2022 9:33
54,UoG,University of Gonder,5/30/2022 9:33
43,WkU,Wolkite University,5/30/2022 9:33
35,WoU,Wolaita University,5/30/2022 9:33
15,WU,Wolega University,5/30/2022 9:33
